player_id,player_display_name,team,position,opponent,week,baseline,projected_points,injury_status
00-0035249,Josh Oliver,MIN,TE,CIN,3,2.5953846153846154,2.8963655086848634,ACTIVE
00-0035250,Devin Singletary,NYG,RB,KC,3,3.5422163742690063,3.2851200245236747,ACTIVE
00-0035261,Tony Pollard,TEN,RB,IND,3,10.81402777777778,10.761701836917563,ACTIVE
00-0035500,Greg Dortch,ARI,WR,SF,3,2.767665441176471,2.941314127727704,ACTIVE
00-0035535,Darius Slayton,NYG,WR,KC,3,5.365401960784315,6.330308926312462,QUESTIONABLE
00-0035537,Ty Johnson,BUF,RB,MIA,3,2.67469696969697,3.4330814112903227,ACTIVE
00-0035567,Craig Reynolds,DET,RB,BAL,3,1.1346825396825397,1.300950134408602,ACTIVE
00-0035602,Alex Bachman,LV,WR,WAS,3,0.24399999999999997,0.24112709677419347,ACTIVE
00-0035631,Drew Sample,CIN,TE,MIN,3,1.5840584415584413,1.5654074308755757,ACTIVE
00-0035640,DK Metcalf,PIT,WR,NE,3,12.259472222222223,15.247224242831544,ACTIVE
00-0035644,Noah Fant,CIN,TE,MIN,3,8.301436507936508,8.203693787762417,ACTIVE
00-0035659,Terry McLaurin,WAS,WR,LV,3,9.826323529411766,12.011888069259962,ACTIVE
00-0035662,Marquise Brown,KC,WR,NYG,3,11.869320512820513,15.01469044871795,ACTIVE
00-0035676,A.J. Brown,PHI,WR,LA,3,8.649911764705882,8.73222544117647,ACTIVE
00-0035685,David Montgomery,DET,RB,BAL,3,12.0063193627451,13.76563245001186,ACTIVE
00-0035689,Dawson Knox,BUF,TE,MIA,3,4.343921568627451,4.083303790322581,ACTIVE
00-0035700,Josh Jacobs,GB,RB,CLE,3,15.14644293614882,14.484396801359088,QUESTIONABLE
00-0035710,Daniel Jones,IND,QB,TEN,3,21.674444444444443,20.957789426523295,ACTIVE
00-0035719,Deebo Samuel Sr.,WAS,WR,LV,3,17.25379861111111,21.091377366711466,ACTIVE
00-0036040,Juwan Johnson,NO,TE,SEA,3,12.995057692307693,16.326665608173073,ACTIVE
00-0036139,Rico Dowdle,CAR,RB,ATL,3,5.1997058823529425,4.671348671726755,ACTIVE
00-0036158,J.K. Dobbins,DEN,RB,LAC,3,14.359642857142857,12.344660714285714,ACTIVE
00-0036182,Nick Westbrook-Ikhine,MIA,WR,BUF,3,4.622970467032967,5.177074487728753,ACTIVE
00-0036212,Tua Tagovailoa,MIA,QB,BUF,3,13.578578477078477,15.568278242631022,ACTIVE
00-0036223,Jonathan Taylor,IND,RB,TEN,3,19.49994155844156,20.726550785504816,ACTIVE
00-0036244,Colby Parkinson,LA,TE,PHI,3,1.128888888888889,1.1516487455197133,ACTIVE
00-0036252,Michael Pittman,IND,WR,TEN,3,13.3815625,16.215432106854838,ACTIVE
00-0036259,Jauan Jennings,SF,WR,ARI,3,11.191986111111111,12.966457457437278,QUESTIONABLE
00-0036264,Jordan Love,GB,QB,CLE,3,16.871157894736843,14.271094770797962,ACTIVE
00-0036275,D'Andre Swift,CHI,RB,DAL,3,12.634390756302523,13.587064575426947,QUESTIONABLE
00-0036290,Cole Kmet,CHI,TE,DAL,3,5.951727941176472,6.508358497094405,ACTIVE
00-0036322,Justin Jefferson,MIN,WR,CIN,3,15.115611111111113,17.029442517921147,ACTIVE
00-0036328,Antonio Gibson,NE,RB,PIT,3,3.898220588235294,4.369779530360531,ACTIVE
00-0036331,Devin Duvernay,CHI,WR,DAL,3,0.7372655677655678,0.9545508111042186,ACTIVE
00-0036355,Justin Herbert,LAC,QB,DEN,3,21.677897435897435,20.4995988172043,ACTIVE
00-0036358,CeeDee Lamb,DAL,WR,CHI,3,19.12857894736842,25.19372683828523,ACTIVE
00-0036389,Jalen Hurts,PHI,QB,LA,3,19.468251461988306,18.202815116959066,ACTIVE
00-0036407,Jerry Jeudy,CLE,WR,GB,3,11.06897549019608,12.174980379901958,ACTIVE
00-0036410,Tee Higgins,CIN,WR,MIN,3,12.384068627450981,11.710934574636308,ACTIVE
00-0036422,Adam Trautman,DEN,TE,LAC,3,4.944107142857144,5.780618173963134,ACTIVE
00-0036427,Tyler Johnson,NYJ,WR,TB,3,3.7759090909090904,3.6912556451612906,ACTIVE
